Country,Sex-disaggregated?,Date,Total cases,Cases (% male),Cases (% female),Total deaths,deaths (% male),deaths (% female),Proportion of deaths in confirmed cases (total),Proportion of deaths in confirmed cases (male),Proportion of deaths in confirmed cases (female),Proportion of deaths in confirmed cases (Male:female ratio),Sources
Thailand,Yes,21.06.2020,"3,148",55,45,58,76,24,1.8,2.5,1,2.6,Source
Costa Rica,Yes,22.06.2020,"2,277",56,44,9,75,25,0.5,0.7,0.3,2.4,Source
Albania,Yes,22.06.2020,"2,047",47,53,30,67,33,2.2,3.1,1.4,2.3,Source
The Netherlands,Yes,23.06.2020,"49,631",38,62,"6,095",55,45,12.3,18,8.8,2,Source
Bosnia and Herzegovina,Yes,15.06.2020,"1,676",46,54,47,61,38,2.8,3.7,2,1.9,Source
North Macedonia,Yes,24.06.2020,"3,363",49,51,259,64,35,7.7,10.1,5.4,1.9,Source
Haiti,Yes,21.06.2020,"5,211",60,40,65,74,26,1.7,2.1,1.1,1.9,Source
Denmark,Yes,23.06.2020,"12,561",43,57,603,57,43,4.8,6.4,3.6,1.8,Source
Greece,Yes,23.06.2020,"3,085",55,45,190,68,32,6.2,7.7,4.3,1.8,Source
Romania,Yes,14.06.2020,"22,160",45,55,"1,427",59,41,6.4,8.5,4.8,1.8,Source
Spain,Yes,21.05.2020,"248,335",43,57,"20,527",57,43,8.3,10.9,6.3,1.8,Source
Sweden,Yes,23.06.2020,"60,837",41,59,"5,161",55,45,8.5,11.4,6.5,1.8,Source
Northern Ireland,Yes,23.06.2020,"4,861",38,62,545,52,48,11.2,15.4,8.6,1.8,Source
Dominican Republic,Yes,21.06.2020,"27,370",54,46,669,68,32,2.4,3.1,1.7,1.8,Source
England,Yes,17.06.2020,"228,742",43,57,"37,664",57,42,16.5,21.9,12.4,1.8,Source
Latvia,Yes,,"1,111",0,0,20,0,0,0,0,0,1.8,Source
Belgium,Yes,19.06.2020,"60,567",37,63,"7,016",50,50,11.6,15.8,9.1,1.7,Source
China,Yes,28.02.2020,"55,924",51,49,"2,114",64,36,3.8,4.7,2.8,1.7,Source
Italy,Yes,16.06.2020,"238,050",46,54,"33,209",58,42,14,17.7,10.7,1.7,Source
Peru,Yes,22.06.2020,"257,447",58,42,"8,223",71,29,3.2,3.9,2.2,1.7,Source
